"unique_ids","zip_codes","dates"
"91502DT","37919","11/13/2020"
"91503DT","37923","11/13/2020"
"91504DT","37931","11/13/2020"
"91505DT","37931","11/13/2020"
"91506DT","37922","11/13/2020"
"91507DT","37918","11/13/2020"
"91508DT","37923","11/12/2020"
"91509DT","37912","11/16/2020"
"91510DT","37912","11/16/2020"
"91511DT","37932","11/16/2020"
"91512DT","37931","11/16/2020"
"91513DT",NA,NA
"ORCHARDT","37934","11/16/2020"
"91514DT","37918","11/16/2020"
"91515DT","37914","11/16/2020"
"91516DT","37914","11/16/2020"
"91517DT","37909","11/01/2020"
"91518DT","37921","11/16/2020"
"91519DT","37921","11/13/2020"
"91520DT","37917","11/13/2020"
"91521DT","37921","11/13/2020"
"91522DT","37919","11/13/2020"
"91523DT","37920","11/13/2020"
"91524DT","37931","11/13/2020"
"91525DT","37912","11/16/2020"
"91526DT","37921","11/17/2020"
"91527DT","37920","11/17/2020"
"91528DT","37920","11/17/2020"
"91529DT","37902","11/17/2020"
"91530DT","37902","11/17/2020"
"91531DT","37924","11/17/2020"
"91532DT","37921","11/17/2020"
"91533DT","37849","11/17/2020"
"91534DT","37912","11/17/2020"
"91535DT","37918","11/17/2020"
"91536DT","37806","11/18/2020"
"91537DT","37849","11/18/2020"
"91538DT","37923","11/18/2020"
"91539DT","37909","11/18/2020"
"91540DT","37920","11/18/2020"
"91541DT","37909","11/18/2020"
"91542DT","37909","11/18/2020"
"91543DT","37909","11/18/2020"
"91544DT","37919","11/18/2020"
"91545DT","37923","11/17/2020"
"91546DT","37921","11/18/2020"
"91547DT","37923","11/17/2020"
"91548DT","37923","11/17/2020"
"91549DT","37917","11/17/2020"
"91550DT","37923","11/17/2020"
"91551DT","37923","11/17/2020"
"91552DT","37923","11/17/2020"
"91553DT","37917","11/18/2020"
"91554DT","37923","11/18/2020"
"91555DT","37917","11/18/2020"
"91556DT","37916","11/18/2020"
"91557DT","37918","11/19/2020"
"91558DT","37920","11/19/2020"
"91559DT",NA,NA
"AN BRODT","37918","11/19/2020"
"91560DT","37914","11/18/2020"
"91561DT","37921","11/20/2020"
"91562DT","34914","11/20/2020"
"91563DT","37918","11/20/2020"
"91564DT","37912","11/01/2020"
"91565DT","37912",NA
"91566DT","37912","11/23/2020"
"91567DT","37806",NA
"91569DT","37920","11/23/2020"
"91570DT","37920","11/23/2020"
